iter	Passed	Remaining
0	2	242
1	5	259
2	7	238
3	8	197
4	9	189
5	12	197
6	14	191
7	15	182
8	18	188
9	21	194
10	23	189
11	25	189
12	28	191
13	30	184
14	31	177
15	33	173
16	35	172
17	36	167
18	38	162
19	41	167
20	44	167
21	46	163
22	47	160
23	51	161
24	53	159
25	55	156
26	57	155
27	58	151
28	59	146
29	61	144
30	65	145
31	66	142
32	68	138
33	71	138
34	72	135
35	74	132
36	76	129
37	79	129
38	81	126
39	82	123
40	83	120
41	85	117
42	87	115
43	88	112
44	89	109
45	91	106
46	93	105
47	95	102
48	96	100
49	97	97
50	100	96
51	103	95
52	106	94
53	109	93
54	110	90
55	113	89
56	116	87
57	118	86
58	121	84
59	124	83
60	126	80
61	127	78
62	129	76
63	131	73
64	133	72
65	136	70
66	139	68
67	140	66
68	142	63
69	143	61
70	145	59
71	147	57
72	148	55
73	150	52
74	152	50
75	154	48
76	156	46
77	158	44
78	161	42
79	163	40
80	164	38
81	167	36
82	169	34
83	189	36
84	190	33
85	192	31
86	194	28
87	195	26
88	197	24
89	199	22
90	200	19
91	202	17
92	205	15
93	207	13
94	209	11
95	210	8
96	211	6
97	214	4
98	216	2
99	217	0
