iter	Passed	Remaining
0	151	150867
1	151	75691
2	152	50580
3	152	38036
4	153	30536
5	154	25525
6	156	22188
7	157	19591
8	158	17482
9	160	15909
10	161	14527
11	162	13397
12	163	12438
13	164	11574
14	164	10825
15	165	10164
16	165	9582
17	166	9065
18	166	8598
19	167	8187
20	168	7874
21	170	7561
22	171	7283
23	172	7012
24	172	6741
25	173	6505
26	174	6288
27	175	6104
28	176	5919
29	177	5743
30	178	5578
31	179	5422
32	180	5277
33	181	5153
34	182	5023
35	182	4897
36	183	4782
37	184	4675
38	185	4571
39	186	4480
40	187	4383
41	188	4291
42	188	4200
43	189	4122
44	190	4045
45	191	3968
46	192	3899
47	193	3831
48	194	3765
49	194	3695
50	195	3628
51	195	3562
52	195	3501
53	196	3447
54	197	3393
55	198	3341
56	198	3289
57	199	3237
58	199	3188
59	200	3140
60	200	3093
61	201	3048
62	202	3005
63	202	2962
64	203	2921
65	203	2884
66	204	2847
67	205	2810
68	205	2774
69	206	2738
70	206	2703
71	207	2668
72	207	2635
73	208	2603
74	208	2571
75	208	2540
76	209	2510
77	209	2480
78	210	2451
79	210	2422
80	211	2395
81	211	2370
82	212	2342
83	212	2317
84	213	2293
85	213	2268
86	213	2244
87	214	2221
88	214	2199
89	215	2177
90	215	2155
91	216	2134
92	216	2114
93	217	2093
94	217	2073
95	218	2054
96	218	2035
97	219	2017
98	219	1999
99	220	1981
100	220	1963
101	221	1946
102	221	1928
103	221	1912
104	222	1895
105	222	1879
106	223	1863
107	223	1847
108	224	1832
109	224	1817
110	225	1802
111	225	1788
112	225	1773
113	226	1760
114	227	1748
115	227	1734
116	228	1721
117	228	1708
118	229	1695
119	229	1682
120	229	1670
121	230	1657
122	230	1645
123	231	1633
124	231	1621
125	232	1610
126	232	1598
127	232	1586
128	233	1576
129	234	1566
130	234	1556
131	235	1545
132	235	1535
133	236	1525
134	236	1515
135	236	1505
136	237	1495
137	237	1485
138	238	1475
139	238	1466
140	239	1456
141	239	1446
142	239	1437
143	240	1428
144	240	1420
145	241	1412
146	242	1404
147	242	1396
148	243	1389
149	243	1381
150	244	1373
151	244	1365
152	245	1358
153	245	1350
154	246	1343
155	246	1336
156	247	1328
157	247	1321
158	248	1314
159	249	1307
160	249	1300
161	250	1293
162	250	1287
163	251	1281
164	251	1274
165	252	1267
166	252	1261
167	253	1255
168	253	1248
169	254	1242
170	255	1236
171	255	1230
172	256	1224
173	256	1218
174	257	1212
175	257	1207
176	258	1201
177	258	1195
178	259	1190
179	260	1185
180	260	1179
181	261	1174
